Rank,Zip Code,Population
608,77037,"18,106"
609,79414,"18,081"
610,77059,"18,020"
611,77541,"17,989"
612,75215,"17,960"
613,77012,"17,932"
614,76266,"17,658"
615,77058,"17,651"
616 TIE,75249,"17,629"
616 TIE,76015,"17,629"
618,77640,"17,579"
619,77378,"17,549"
620 TIE,78255,"17,545"
620 TIE,75236,"17,545"
622,75201,"17,491"
623,76103,"17,363"
624,77401,"17,362"
625,76501,"17,357"
626,78070,"17,300"
627,77085,"17,101"
628,75751,"17,098"
629,77619,"17,078"
630,77011,"17,060"
631,79415,"17,048"
632,75057,"16,855"
633,77656,"16,795"
634,75233,"16,743"
635,77031,"16,710"
636,75672,"16,700"
637,76118,"16,674"
638,77306,"16,650"
639,79360,"16,584"
640,77979,"16,577"
641,77905,"16,570"
642,76247,"16,511"
643,75156,"16,500"
644,75203,"16,455"
645,76707,"16,430"
646,75474,"16,394"
647,77587,"16,381"
648,78219,"16,304"
649,75001,"16,287"
650,77029,"16,223"
651,78064,"16,049"
652,79403,"16,001"
653,76207,"15,961"
654,77531,"15,956"
655,75103,"15,900"
656,79029,"15,875"
657,78751,"15,856"
658,79903,"15,849"
659,75054,"15,820"
660,79549,"15,814"
661,78220,"15,808"
662,77575,"15,796"
663,79336,"15,785"
664,75801,"15,740"
665,79412,"15,719"
666,76643,"15,707"
667,75601,"15,683"
668,78404,"15,650"
669,77098,"15,414"
670,75454,"15,341"
671,75143,"15,270"
672,78676,"15,241"
673,76301,"15,062"
674,78416,"15,030"
675,75951,"15,026"
676,77591,"14,961"
677,75961,"14,909"
678,78252,"14,832"
679,76306,"14,781"
680,75418,"14,726"
681,77488,"14,721"
682,77808,"14,684"
683,76088,"14,669"
684,75762,"14,609"
685,77445,"14,595"
686,77801,"14,585"
687,78163,"14,531"
688,75169,"14,496"
689,77423,"14,470"
690,75707,"14,455"
691,78645,"14,360"
692,75223,"14,270"
693,76022,"14,224"
694,75209,"14,205"
695,78405,"14,194"
696,77713,"14,136"
697,78225,"14,115"
698,77372,"14,103"
699,75791,"14,093"
700,76309,"14,082"
701,76164,"14,081"
702,77474,"14,048"
703,77422,"14,042"
704,75652,"14,011"
705,78557,"13,939"
706,79007,"13,915"
707,77032,"13,887"
708,79772,"13,843"
709,78248,"13,840"
710,76550,"13,789"
711,77078,"13,738"
712,78121,"13,730"
713,75757,"13,699"
714,77651,"13,534"
715,75773,"13,478"
716,76367,"13,471"
717,78580,"13,429"
718,78726,"13,414"
719,75686,"13,396"
720,78861,"13,272"
721,79735,"13,267"
722,78076,"13,224"
723,79849,"13,183"
724,77510,"13,124"
725,76450,"13,090"
726,76905,"13,052"
727,77708,"12,979"
728,75654,"12,945"
729,78611,"12,938"
730,77701,"12,930"
731,77484,"12,914"
732,78264,"12,899"
733,78559,"12,819"
734,75244,"12,806"
735,75633,"12,799"
736,78576,"12,748"
737,79556,"12,687"
738,77807,"12,677"
739,75644,"12,594"
740,75065,"12,549"
741,75935,"12,426"
742,75647,"12,405"
743,78336,"12,365"
744,75167,"12,332"
745,76384,"12,304"
746,77336,"12,249"
747,79835,"12,231"
748,77703,"12,069"
749,75979,"12,023"
