Rank,Zip Code,Population
781,90732,"21,582"
782,92663,"21,523"
783,92808,"21,496"
784,95620,"21,494"
785,92865,"21,384"
786,91040,"21,289"
787,90272,"21,282"
788,92225,"21,272"
789,95827,"21,241"
790,95949,"21,240"
791,90603,"21,236"
792,93560,"21,195"
793,90715,"21,174"
794,90068,"21,127"
795,92371,"21,123"
796,94579,"21,034"
797,94706,"20,962"
798,94127,"20,927"
799,95841,"20,892"
800,92106,"20,889"
801,92344,"20,768"
802,93630,"20,736"
803,93203,"20,674"
804,91011,"20,621"
805,92582,"20,580"
806,90048,"20,504"
807,94519,"20,495"
808,91602,"20,465"
809,92887,"20,395"
810,95110,"20,377"
811,92082,"20,300"
812,92377,"20,201"
813,91381,"20,193"
814,90069,"20,185"
815,95819,"20,146"
816,94022,"20,069"
817,92586,"20,022"
818,92264,"19,965"
819,94703,"19,857"
820,95138,"19,827"
821,90254,"19,787"
822,91390,"19,772"
823,92118,"19,672"
824,93927,"19,665"
825,90210,"19,627"
826,91101,"19,542"
827,91501,"19,493"
828,92029,"19,466"
829 TIE,94563,"19,454"
829 TIE,91361,"19,454"
831,91506,"19,449"
832,93103,"19,282"
833,90814,"19,166"
834,92603,"19,128"
835,94564,"19,065"
836,96161,"19,058"
837,93015,"18,810"
838,91345,"18,752"
839,91204,"18,738"
840,93210,"18,733"
841,95602,"18,705"
842,95519,"18,467"
843,95366,"18,462"
844,92587,"18,432"
845,91723,"18,398"
846,91901,"18,367"
847,93111,"18,327"
848,95959,"18,280"
849,94949,"18,273"
850,93268,"18,113"
851,90502,"18,110"
852,95816,"18,033"
853,92617,"17,960"
854,93728,"17,779"
855,91902,"17,759"
856,91914,"17,742"
857,92637,"17,546"
858,94945,"17,482"
859,94595,"17,455"
860,90670,"17,446"
861,95673,"17,332"
862,94618,"17,324"
863,95334,"17,253"
864 TIE,90245,"17,243"
864 TIE,94301,"17,243"
866,93247,"17,182"
867,92270,"17,129"
868,91436,"16,970"
869,93930,"16,945"
870,94612,"16,884"
871,90265,"16,868"
872,95963,"16,812"
873,95422,"16,759"
874,93631,"16,738"
875,94542,"16,705"
876,95448,"16,596"
877 TIE,94702,"16,557"
877 TIE,91203,"16,557"
879,93241,"16,543"
880,93013,"16,515"
881,94305,"16,469"
882,90701,"16,390"
883,93110,"16,345"
884,95203,"16,255"
885,92010,"15,976"
886,95437,"15,903"
887,94960,"15,871"
888,94505,"15,796"
889,90623,"15,703"
890,93402,"15,692"
891,94556,"15,672"
892,96021,"15,660"
893,95304,"15,585"
894,93648,"15,507"
895,94019,"15,452"
896,90232,"15,342"
897,93250,"15,318"
898,91208,"15,316"
899,95066,"15,265"
900,90305,"15,254"
901,92845,"15,240"
902,93950,"15,169"
903,94552,"15,131"
904,95540,"14,989"
905,92866,"14,966"
906,93514,"14,949"
907,93505,"14,914"
908,94041,"14,862"
909,96022,"14,793"
910,94805,"14,783"
911,94502,"14,732"
912,95368,"14,674"
913,95252,"14,644"
914,95650,"14,479"
915,95605,"14,328"
916,95490,"14,256"
917,91708,"14,179"
918,94705,"14,150"
919,95817,"14,109"
920,90716,"14,050"
921,93301,"14,004"
922,95742,"13,955"
923,94507,"13,906"
924,93640,"13,884"
925,93204,"13,881"
926,93221,"13,865"
927,94105,"13,810"
928,93543,"13,793"
929,95357,"13,740"
930,91377,"13,561"
931,95360,"13,551"
932,95030,"13,528"
933,95832,"13,446"
934,90013,"13,413"
935,94904,"13,391"
936,95315,"13,334"
937,95388,"13,270"
938,95130,"13,147"
939,93723,"13,109"
940,92625,"13,102"
941,92313,"13,079"
942,93636,"12,921"
943,95640,"12,915"
944,91105,"12,888"
945,93433,"12,846"
946,92274,"12,843"
947,92014,"12,823"
948,90293,"12,812"
949,93730,"12,810"
950,94920,"12,803"
951,93923,"12,758"
952,91108,"12,755"
953,95451,"12,611"
954,93908,"12,605"
955,92610,"12,524"
956,95320,"12,481"
957,94707,"12,313"
958,95814,"12,302"
959,92075,"12,234"
960,94517,"12,200"
961,92408,"12,169"
962,94709,"12,115"
963,90402,"12,046"
964,91502,"12,044"
965,95948,"12,010"
966,94108,"11,963"
967,93614,"11,951"
968,94708,"11,937"
969,90040,"11,844"
970,94965,"11,821"
971,90755,"11,813"
972,94065,"11,772"
973,93647,"11,575"
974,95453,"11,523"
975,91207,"11,488"
976,90248,"11,472"
977,92007,"11,447"
978,90094,"11,426"
979,95073,"11,359"
980,95425,"11,337"
981,93109,"11,291"
982,91024,"11,253"
983,93442,"11,250"
984,95953,"11,247"
985,95954,"11,234"
986,93108,"11,097"
987,90212,"10,999"
988,91978,"10,979"
989,92314,"10,905"
990,94571,"10,776"
991,95338,"10,726"
992,92136,"10,676"
993,94158,"10,658"
994,95012,"10,647"
995,95064,"10,646"
996,93286,"10,500"
997,96019,"10,486"
998,93223,"10,485"
999,92567,"10,480"
